Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;07.03.2021 04:00 - 07.03.2021 05:00 (CET);5570;7114;102;17;3415
BZN|ES;07.03.2021 05:00 - 07.03.2021 06:00 (CET);5817;7113;105;15;2996
BZN|ES;07.03.2021 06:00 - 07.03.2021 07:00 (CET);5905;7113;104;15;2769
BZN|ES;07.03.2021 07:00 - 07.03.2021 08:00 (CET);6161;7114;106;21;2690
BZN|ES;07.03.2021 08:00 - 07.03.2021 09:00 (CET);5665;7116;103;369;2503
BZN|ES;07.03.2021 09:00 - 07.03.2021 10:00 (CET);6191;7116;105;1520;2089
BZN|ES;07.03.2021 10:00 - 07.03.2021 11:00 (CET);6432;7116;105;2836;1864
BZN|ES;07.03.2021 11:00 - 07.03.2021 12:00 (CET);5778;7116;105;4167;1738
BZN|ES;07.03.2021 12:00 - 07.03.2021 13:00 (CET);5381;7115;106;5093;1632
BZN|ES;07.03.2021 13:00 - 07.03.2021 14:00 (CET);5388;7115;104;5029;1562
BZN|ES;07.03.2021 14:00 - 07.03.2021 15:00 (CET);5323;7115;104;4853;1587
BZN|ES;07.03.2021 15:00 - 07.03.2021 16:00 (CET);5748;7115;103;4449;1865
BZN|ES;07.03.2021 16:00 - 07.03.2021 17:00 (CET);6308;7115;99;3708;2056
BZN|ES;07.03.2021 17:00 - 07.03.2021 18:00 (CET);5894;7116;102;2749;2355
BZN|ES;07.03.2021 18:00 - 07.03.2021 19:00 (CET);7392;7114;102;1077;2785
BZN|ES;07.03.2021 19:00 - 07.03.2021 20:00 (CET);8328;7113;100;236;3473
BZN|ES;07.03.2021 20:00 - 07.03.2021 21:00 (CET);7344;7114;102;130;3924
BZN|ES;07.03.2021 21:00 - 07.03.2021 22:00 (CET);7930;7114;97;74;4180
BZN|ES;07.03.2021 22:00 - 07.03.2021 23:00 (CET);7254;7115;96;74;4249
BZN|ES;07.03.2021 23:00 - 08.03.2021 00:00 (CET);6310;7114;99;73;4332
BZN|ES;08.03.2021 00:00 - 08.03.2021 01:00 (CET);5065;7114;99;53;4161
BZN|ES;08.03.2021 01:00 - 08.03.2021 02:00 (CET);5518;7114;99;26;4339
BZN|ES;08.03.2021 02:00 - 08.03.2021 03:00 (CET);5657;7114;97;26;4794
BZN|ES;08.03.2021 03:00 - 08.03.2021 04:00 (CET);5401;7115;96;26;5300
BZN|ES;08.03.2021 04:00 - 08.03.2021 05:00 (CET);5432;7116;95;26;5816
BZN|ES;08.03.2021 05:00 - 08.03.2021 06:00 (CET);5316;7116;96;25;6184
BZN|ES;08.03.2021 06:00 - 08.03.2021 07:00 (CET);7377;7115;98;23;6417
BZN|ES;08.03.2021 07:00 - 08.03.2021 08:00 (CET);8521;7115;98;33;6216
BZN|ES;08.03.2021 08:00 - 08.03.2021 09:00 (CET);9524;7116;101;486;6230
BZN|ES;08.03.2021 09:00 - 08.03.2021 10:00 (CET);9983;7115;100;1607;6147
BZN|ES;08.03.2021 10:00 - 08.03.2021 11:00 (CET);9957;7114;96;2547;6176
BZN|ES;08.03.2021 11:00 - 08.03.2021 12:00 (CET);9010;7114;100;3170;6424
BZN|ES;08.03.2021 12:00 - 08.03.2021 13:00 (CET);7994;7114;100;3867;6397
BZN|ES;08.03.2021 13:00 - 08.03.2021 14:00 (CET);6161;7114;105;4376;6664
BZN|ES;08.03.2021 14:00 - 08.03.2021 15:00 (CET);5515;7115;103;4534;7138
BZN|ES;08.03.2021 15:00 - 08.03.2021 16:00 (CET);5786;7115;101;4441;7620
BZN|ES;08.03.2021 16:00 - 08.03.2021 17:00 (CET);6782;7114;102;3817;8063
BZN|ES;08.03.2021 17:00 - 08.03.2021 18:00 (CET);7248;7114;102;2669;8350
BZN|ES;08.03.2021 18:00 - 08.03.2021 19:00 (CET);8643;7115;107;1098;8267
