Time (CET);Imports;Exports
19.03.2021 21:00 - 19.03.2021 22:00;1443;0
19.03.2021 22:00 - 19.03.2021 23:00;1511;0
19.03.2021 23:00 - 20.03.2021 00:00;1147;0
20.03.2021 00:00 - 20.03.2021 01:00;1353;0
20.03.2021 01:00 - 20.03.2021 02:00;606;0
20.03.2021 02:00 - 20.03.2021 03:00;705;0
20.03.2021 03:00 - 20.03.2021 04:00;781;0
20.03.2021 04:00 - 20.03.2021 05:00;869;0
20.03.2021 05:00 - 20.03.2021 06:00;518;0
20.03.2021 06:00 - 20.03.2021 07:00;580;0
20.03.2021 07:00 - 20.03.2021 08:00;854;127
20.03.2021 08:00 - 20.03.2021 09:00;0;121
20.03.2021 09:00 - 20.03.2021 10:00;0;426
20.03.2021 10:00 - 20.03.2021 11:00;0;879
20.03.2021 11:00 - 20.03.2021 12:00;0;1636
20.03.2021 12:00 - 20.03.2021 13:00;0;2106
20.03.2021 13:00 - 20.03.2021 14:00;0;2138
20.03.2021 14:00 - 20.03.2021 15:00;0;2227
20.03.2021 15:00 - 20.03.2021 16:00;0;2767
20.03.2021 16:00 - 20.03.2021 17:00;0;2420
20.03.2021 17:00 - 20.03.2021 18:00;0;2154
20.03.2021 18:00 - 20.03.2021 19:00;0;430
20.03.2021 19:00 - 20.03.2021 20:00;968;0
20.03.2021 20:00 - 20.03.2021 21:00;1446;0
20.03.2021 21:00 - 20.03.2021 22:00;1775;0
20.03.2021 22:00 - 20.03.2021 23:00;1914;0
20.03.2021 23:00 - 21.03.2021 00:00;564;0
21.03.2021 00:00 - 21.03.2021 01:00;0;326
21.03.2021 01:00 - 21.03.2021 02:00;0;243
