Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
08.03.2021 08:00 - 08.03.2021 09:00;31852;1913;0;59.49;9524;7116;101;486;6230
08.03.2021 09:00 - 08.03.2021 10:00;33426;1673;0;61.37;9983;7115;100;1607;6147
08.03.2021 10:00 - 08.03.2021 11:00;34152;1070;0;59.34;9957;7114;96;2547;6176
08.03.2021 11:00 - 08.03.2021 12:00;34117;717;0;57.73;9010;7114;100;3170;6424
08.03.2021 12:00 - 08.03.2021 13:00;34109;1911;87;56.55;7994;7114;100;3867;6397
08.03.2021 13:00 - 08.03.2021 14:00;34043;3126;274;55.68;6161;7114;105;4376;6664
08.03.2021 14:00 - 08.03.2021 15:00;33260;2653;390;54.15;5515;7115;103;4534;7138
08.03.2021 15:00 - 08.03.2021 16:00;32339;1168;509;55.41;5786;7115;101;4441;7620
08.03.2021 16:00 - 08.03.2021 17:00;31818;210;0;58.02;6782;7114;102;3817;8063
08.03.2021 17:00 - 08.03.2021 18:00;31620;218;0;57.12;7248;7114;102;2669;8350
08.03.2021 18:00 - 08.03.2021 19:00;31763;393;0;57.2;8643;7115;107;1098;8267
08.03.2021 19:00 - 08.03.2021 20:00;33922;1437;0;61.79;10421;7116;108;142;8078
08.03.2021 20:00 - 08.03.2021 21:00;35241;1400;0;66.18;10837;7116;108;37;8362
08.03.2021 21:00 - 08.03.2021 22:00;33822;1240;0;59.16;9056;7116;106;20;8307
08.03.2021 22:00 - 08.03.2021 23:00;31060;0;112;56.87;8441;7116;100;18;8371
08.03.2021 23:00 - 09.03.2021 00:00;28215;0;291;54.25;6941;7116;100;18;8283
09.03.2021 00:00 - 09.03.2021 01:00;26147;379;0;53.15;5359;7115;97;18;8102
09.03.2021 01:00 - 09.03.2021 02:00;24554;525;0;46.66;5029;7115;98;19;7880
09.03.2021 02:00 - 09.03.2021 03:00;23655;864;0;43.77;5154;7117;98;18;7986
09.03.2021 03:00 - 09.03.2021 04:00;23289;1158;0;43.09;5578;7115;98;18;7738
09.03.2021 04:00 - 09.03.2021 05:00;23219;1109;0;43.59;5907;7117;93;18;7464
09.03.2021 05:00 - 09.03.2021 06:00;23888;1143;0;48.26;5506;7118;95;18;6810
09.03.2021 06:00 - 09.03.2021 07:00;26599;1814;0;52.46;5916;7115;96;17;6304
09.03.2021 07:00 - 09.03.2021 08:00;30395;2408;0;59.18;8373;7114;98;39;6147
09.03.2021 08:00 - 09.03.2021 09:00;33016;2962;0;63.02;9010;7115;106;976;5672
09.03.2021 09:00 - 09.03.2021 10:00;34346;3111;0;63.02;8762;7114;105;3167;5430
09.03.2021 10:00 - 09.03.2021 11:00;34617;2415;0;62;8640;7113;105;4996;5257
09.03.2021 11:00 - 09.03.2021 12:00;34328;1337;0;59.7;7357;7116;106;6287;5091
