"Time (CET),""Day-ahead Total Load Forecast [MW] - BZN|ES"",""Actual Total Load [MW] - BZN|ES"""
"07.03.2021 22:00 - 07.03.2021 23:00,""28281"",""28198"""
"07.03.2021 23:00 - 08.03.2021 00:00,""25858"",""25724"""
"08.03.2021 00:00 - 08.03.2021 01:00,""23590"",""23558"""
"08.03.2021 01:00 - 08.03.2021 02:00,""22044"",""21979"""
"08.03.2021 02:00 - 08.03.2021 03:00,""21234"",""21049"""
"08.03.2021 03:00 - 08.03.2021 04:00,""20947"",""20749"""
"08.03.2021 04:00 - 08.03.2021 05:00,""21022"",""20827"""
"08.03.2021 05:00 - 08.03.2021 06:00,""21972"",""21905"""
"08.03.2021 06:00 - 08.03.2021 07:00,""24885"",""25079"""
"08.03.2021 07:00 - 08.03.2021 08:00,""28752"",""29112"""
"08.03.2021 08:00 - 08.03.2021 09:00,""31544"",""31852"""
"08.03.2021 09:00 - 08.03.2021 10:00,""33406"",""33426"""
"08.03.2021 10:00 - 08.03.2021 11:00,""34063"",""34152"""
"08.03.2021 11:00 - 08.03.2021 12:00,""34132"",""34117"""
"08.03.2021 12:00 - 08.03.2021 13:00,""34012"",""34109"""
"08.03.2021 13:00 - 08.03.2021 14:00,""33988"",""34043"""
"08.03.2021 14:00 - 08.03.2021 15:00,""33005"",""33260"""
"08.03.2021 15:00 - 08.03.2021 16:00,""32016"",""32339"""
"08.03.2021 16:00 - 08.03.2021 17:00,""31414"",""31818"""
"08.03.2021 17:00 - 08.03.2021 18:00,""31065"",""31620"""
"08.03.2021 18:00 - 08.03.2021 19:00,""31238"",""31763"""
"08.03.2021 19:00 - 08.03.2021 20:00,""33465"",""33922"""
"08.03.2021 20:00 - 08.03.2021 21:00,""34717"",""35241"""
"08.03.2021 21:00 - 08.03.2021 22:00,""33752"",""33822"""
"08.03.2021 22:00 - 08.03.2021 23:00,""30945"",""31060"""
"08.03.2021 23:00 - 09.03.2021 00:00,""27883"",""28215"""
"09.03.2021 00:00 - 09.03.2021 01:00,""25753"",""26147"""
"09.03.2021 01:00 - 09.03.2021 02:00,""24131"",""24554"""
"09.03.2021 02:00 - 09.03.2021 03:00,""23194"",""23655"""
"09.03.2021 03:00 - 09.03.2021 04:00,""22860"",""23289"""
"09.03.2021 04:00 - 09.03.2021 05:00,""22794"",""23219"""
"09.03.2021 05:00 - 09.03.2021 06:00,""23582"",""23888"""
"09.03.2021 06:00 - 09.03.2021 07:00,""26245"",""26599"""
"09.03.2021 07:00 - 09.03.2021 08:00,""30083"",""30395"""
"09.03.2021 08:00 - 09.03.2021 09:00,""32725"",""33016"""
"09.03.2021 09:00 - 09.03.2021 10:00,""34252"",""34346"""
"09.03.2021 10:00 - 09.03.2021 11:00,""34641"",""34617"""
"09.03.2021 11:00 - 09.03.2021 12:00,""34603"",""34328"""
"09.03.2021 12:00 - 09.03.2021 13:00,""34323"",""33960"""
"09.03.2021 13:00 - 09.03.2021 14:00,""34252"",""33838"""
"09.03.2021 14:00 - 09.03.2021 15:00,""33311"",""32827"""
"09.03.2021 15:00 - 09.03.2021 16:00,""32374"",""31768"""
"09.03.2021 16:00 - 09.03.2021 17:00,""31753"",""31162"""
"09.03.2021 17:00 - 09.03.2021 18:00,""31467"",""30960"""
"09.03.2021 18:00 - 09.03.2021 19:00,""31696"",""31180"""
