"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"08.03.2021 11:00 - 08.03.2021 12:00,""57.73"""
"08.03.2021 12:00 - 08.03.2021 13:00,""56.55"""
"08.03.2021 13:00 - 08.03.2021 14:00,""55.68"""
"08.03.2021 14:00 - 08.03.2021 15:00,""54.15"""
"08.03.2021 15:00 - 08.03.2021 16:00,""55.41"""
"08.03.2021 16:00 - 08.03.2021 17:00,""58.02"""
"08.03.2021 17:00 - 08.03.2021 18:00,""57.12"""
"08.03.2021 18:00 - 08.03.2021 19:00,""57.20"""
"08.03.2021 19:00 - 08.03.2021 20:00,""61.79"""
"08.03.2021 20:00 - 08.03.2021 21:00,""66.18"""
"08.03.2021 21:00 - 08.03.2021 22:00,""59.16"""
"08.03.2021 22:00 - 08.03.2021 23:00,""56.87"""
"08.03.2021 23:00 - 09.03.2021 00:00,""54.25"""
"09.03.2021 00:00 - 09.03.2021 01:00,""53.15"""
"09.03.2021 01:00 - 09.03.2021 02:00,""46.66"""
"09.03.2021 02:00 - 09.03.2021 03:00,""43.77"""
"09.03.2021 03:00 - 09.03.2021 04:00,""43.09"""
"09.03.2021 04:00 - 09.03.2021 05:00,""43.59"""
"09.03.2021 05:00 - 09.03.2021 06:00,""48.26"""
"09.03.2021 06:00 - 09.03.2021 07:00,""52.46"""
"09.03.2021 07:00 - 09.03.2021 08:00,""59.18"""
"09.03.2021 08:00 - 09.03.2021 09:00,""63.02"""
"09.03.2021 09:00 - 09.03.2021 10:00,""63.02"""
"09.03.2021 10:00 - 09.03.2021 11:00,""62.00"""
"09.03.2021 11:00 - 09.03.2021 12:00,""59.70"""
"09.03.2021 12:00 - 09.03.2021 13:00,""57.94"""
"09.03.2021 13:00 - 09.03.2021 14:00,""56.47"""
"09.03.2021 14:00 - 09.03.2021 15:00,""56.49"""
"09.03.2021 15:00 - 09.03.2021 16:00,""56.78"""
"09.03.2021 16:00 - 09.03.2021 17:00,""56.50"""
"09.03.2021 17:00 - 09.03.2021 18:00,""59.00"""
"09.03.2021 18:00 - 09.03.2021 19:00,""63.01"""
"09.03.2021 19:00 - 09.03.2021 20:00,""75.01"""
"09.03.2021 20:00 - 09.03.2021 21:00,""70.00"""
"09.03.2021 21:00 - 09.03.2021 22:00,""61.70"""
"09.03.2021 22:00 - 09.03.2021 23:00,""58.30"""
"09.03.2021 23:00 - 10.03.2021 00:00,""56.00"""
"10.03.2021 00:00 - 10.03.2021 01:00,""55.57"""
"10.03.2021 01:00 - 10.03.2021 02:00,""53.46"""
"10.03.2021 02:00 - 10.03.2021 03:00,""50.03"""
"10.03.2021 03:00 - 10.03.2021 04:00,""49.04"""
"10.03.2021 04:00 - 10.03.2021 05:00,""49.00"""
"10.03.2021 05:00 - 10.03.2021 06:00,""53.08"""
"10.03.2021 06:00 - 10.03.2021 07:00,""58.90"""
"10.03.2021 07:00 - 10.03.2021 08:00,""69.90"""
"10.03.2021 08:00 - 10.03.2021 09:00,""68.08"""
"10.03.2021 09:00 - 10.03.2021 10:00,""62.37"""
"10.03.2021 10:00 - 10.03.2021 11:00,""59.31"""
"10.03.2021 11:00 - 10.03.2021 12:00,""55.93"""
"10.03.2021 12:00 - 10.03.2021 13:00,""54.12"""
"10.03.2021 13:00 - 10.03.2021 14:00,""51.94"""
"10.03.2021 14:00 - 10.03.2021 15:00,""51.57"""
"10.03.2021 15:00 - 10.03.2021 16:00,""48.71"""
"10.03.2021 16:00 - 10.03.2021 17:00,""49.03"""
"10.03.2021 17:00 - 10.03.2021 18:00,""54.78"""
"10.03.2021 18:00 - 10.03.2021 19:00,""58.51"""
"10.03.2021 19:00 - 10.03.2021 20:00,""61.38"""
"10.03.2021 20:00 - 10.03.2021 21:00,""62.07"""
"10.03.2021 21:00 - 10.03.2021 22:00,""59.83"""
"10.03.2021 22:00 - 10.03.2021 23:00,""53.46"""
"10.03.2021 23:00 - 11.03.2021 00:00,""50.75"""
"11.03.2021 00:00 - 11.03.2021 01:00,""40.17"""
"11.03.2021 01:00 - 11.03.2021 02:00,""37.64"""
"11.03.2021 02:00 - 11.03.2021 03:00,""32.30"""
"11.03.2021 03:00 - 11.03.2021 04:00,""27.43"""
"11.03.2021 04:00 - 11.03.2021 05:00,""16.75"""
"11.03.2021 05:00 - 11.03.2021 06:00,""20.71"""
"11.03.2021 06:00 - 11.03.2021 07:00,""32.72"""
"11.03.2021 07:00 - 11.03.2021 08:00,""47.78"""
"11.03.2021 08:00 - 11.03.2021 09:00,""53.03"""
"11.03.2021 09:00 - 11.03.2021 10:00,""52.22"""
"11.03.2021 10:00 - 11.03.2021 11:00,""45.60"""
"11.03.2021 11:00 - 11.03.2021 12:00,""42.00"""
"11.03.2021 12:00 - 11.03.2021 13:00,""41.22"""
"11.03.2021 13:00 - 11.03.2021 14:00,""38.99"""
"11.03.2021 14:00 - 11.03.2021 15:00,""36.64"""
"11.03.2021 15:00 - 11.03.2021 16:00,""33.04"""
"11.03.2021 16:00 - 11.03.2021 17:00,""34.09"""
"11.03.2021 17:00 - 11.03.2021 18:00,""38.97"""
"11.03.2021 18:00 - 11.03.2021 19:00,""48.33"""
"11.03.2021 19:00 - 11.03.2021 20:00,""56.59"""
"11.03.2021 20:00 - 11.03.2021 21:00,""55.01"""
"11.03.2021 21:00 - 11.03.2021 22:00,""52.03"""
"11.03.2021 22:00 - 11.03.2021 23:00,""49.57"""
"11.03.2021 23:00 - 12.03.2021 00:00,""45.40"""
"12.03.2021 00:00 - 12.03.2021 01:00,""30.99"""
"12.03.2021 01:00 - 12.03.2021 02:00,""29.41"""
"12.03.2021 02:00 - 12.03.2021 03:00,""28.99"""
"12.03.2021 03:00 - 12.03.2021 04:00,""26.00"""
"12.03.2021 04:00 - 12.03.2021 05:00,""24.87"""
"12.03.2021 05:00 - 12.03.2021 06:00,""28.99"""
"12.03.2021 06:00 - 12.03.2021 07:00,""43.75"""
"12.03.2021 07:00 - 12.03.2021 08:00,""52.39"""
"12.03.2021 08:00 - 12.03.2021 09:00,""57.74"""
"12.03.2021 09:00 - 12.03.2021 10:00,""52.01"""
"12.03.2021 10:00 - 12.03.2021 11:00,""45.00"""
"12.03.2021 11:00 - 12.03.2021 12:00,""36.57"""
"12.03.2021 12:00 - 12.03.2021 13:00,""34.69"""
"12.03.2021 13:00 - 12.03.2021 14:00,""30.43"""
"12.03.2021 14:00 - 12.03.2021 15:00,""29.41"""
"12.03.2021 15:00 - 12.03.2021 16:00,""31.82"""
"12.03.2021 16:00 - 12.03.2021 17:00,""30.99"""
"12.03.2021 17:00 - 12.03.2021 18:00,""41.53"""
"12.03.2021 18:00 - 12.03.2021 19:00,""50.82"""
